date,product_id,product_name,sales_qty,stock_level,lead_time_days,days_until_replenishment,cost_price,unit_price,stockout_event
2025-06-18,P001,Bio-Coffee Beans 1kg,21,179,5,0,12.5,24.99,0
2025-06-19,P001,Bio-Coffee Beans 1kg,26,153,5,0,12.5,24.99,0
2025-06-20,P001,Bio-Coffee Beans 1kg,26,127,5,0,12.5,24.99,0
2025-06-21,P001,Bio-Coffee Beans 1kg,34,93,5,4,12.5,24.99,0
2025-06-22,P001,Bio-Coffee Beans 1kg,17,76,5,3,12.5,24.99,0
2025-06-23,P001,Bio-Coffee Beans 1kg,20,56,5,2,12.5,24.99,0
2025-06-24,P001,Bio-Coffee Beans 1kg,21,35,5,1,12.5,24.99,0
2025-06-25,P001,Bio-Coffee Beans 1kg,24,386,5,0,12.5,24.99,0
2025-06-26,P001,Bio-Coffee Beans 1kg,19,367,5,0,12.5,24.99,0
2025-06-27,P001,Bio-Coffee Beans 1kg,32,335,5,0,12.5,24.99,0
2025-06-28,P001,Bio-Coffee Beans 1kg,27,308,5,0,12.5,24.99,0
2025-06-29,P001,Bio-Coffee Beans 1kg,24,284,5,0,12.5,24.99,0
2025-06-30,P001,Bio-Coffee Beans 1kg,24,260,5,0,12.5,24.99,0
2025-07-01,P001,Bio-Coffee Beans 1kg,20,240,5,0,12.5,24.99,0
2025-07-02,P001,Bio-Coffee Beans 1kg,25,215,5,0,12.5,24.99,0
2025-07-03,P001,Bio-Coffee Beans 1kg,16,199,5,0,12.5,24.99,0
2025-07-04,P001,Bio-Coffee Beans 1kg,28,171,5,0,12.5,24.99,0
2025-07-05,P001,Bio-Coffee Beans 1kg,29,142,5,0,12.5,24.99,0
2025-07-06,P001,Bio-Coffee Beans 1kg,23,119,5,5,12.5,24.99,0
2025-07-07,P001,Bio-Coffee Beans 1kg,15,104,5,4,12.5,24.99,0
2025-07-08,P001,Bio-Coffee Beans 1kg,11,93,5,3,12.5,24.99,0
2025-07-09,P001,Bio-Coffee Beans 1kg,21,72,5,2,12.5,24.99,0
2025-07-10,P001,Bio-Coffee Beans 1kg,28,44,5,1,12.5,24.99,0
2025-07-11,P001,Bio-Coffee Beans 1kg,29,390,5,0,12.5,24.99,0
2025-07-12,P001,Bio-Coffee Beans 1kg,25,365,5,0,12.5,24.99,0
2025-07-13,P001,Bio-Coffee Beans 1kg,27,338,5,0,12.5,24.99,0
2025-07-14,P001,Bio-Coffee Beans 1kg,25,313,5,0,12.5,24.99,0
2025-07-15,P001,Bio-Coffee Beans 1kg,27,286,5,0,12.5,24.99,0
2025-07-16,P001,Bio-Coffee Beans 1kg,20,266,5,0,12.5,24.99,0
2025-07-17,P001,Bio-Coffee Beans 1kg,29,237,5,0,12.5,24.99,0
2025-07-18,P001,Bio-Coffee Beans 1kg,30,207,5,0,12.5,24.99,0
2025-07-19,P001,Bio-Coffee Beans 1kg,29,178,5,0,12.5,24.99,0
2025-07-20,P001,Bio-Coffee Beans 1kg,26,152,5,0,12.5,24.99,0
2025-07-21,P001,Bio-Coffee Beans 1kg,29,123,5,5,12.5,24.99,0
2025-07-22,P001,Bio-Coffee Beans 1kg,26,97,5,4,12.5,24.99,0
2025-07-23,P001,Bio-Coffee Beans 1kg,27,70,5,3,12.5,24.99,0
2025-07-24,P001,Bio-Coffee Beans 1kg,23,47,5,2,12.5,24.99,0
2025-07-25,P001,Bio-Coffee Beans 1kg,29,18,5,1,12.5,24.99,0
2025-07-26,P001,Bio-Coffee Beans 1kg,18,375,5,0,12.5,24.99,1
2025-07-27,P001,Bio-Coffee Beans 1kg,21,354,5,0,12.5,24.99,0
2025-07-28,P001,Bio-Coffee Beans 1kg,18,336,5,0,12.5,24.99,0
2025-07-29,P001,Bio-Coffee Beans 1kg,19,317,5,0,12.5,24.99,0
2025-07-30,P001,Bio-Coffee Beans 1kg,31,286,5,0,12.5,24.99,0
2025-07-31,P001,Bio-Coffee Beans 1kg,24,262,5,0,12.5,24.99,0
2025-08-01,P001,Bio-Coffee Beans 1kg,38,224,5,0,12.5,24.99,0
2025-08-02,P001,Bio-Coffee Beans 1kg,41,183,5,0,12.5,24.99,0
2025-08-03,P001,Bio-Coffee Beans 1kg,20,163,5,0,12.5,24.99,0
2025-08-04,P001,Bio-Coffee Beans 1kg,18,145,5,0,12.5,24.99,0
2025-08-05,P001,Bio-Coffee Beans 1kg,21,124,5,4,12.5,24.99,0
2025-08-06,P001,Bio-Coffee Beans 1kg,16,108,5,3,12.5,24.99,0
2025-08-07,P001,Bio-Coffee Beans 1kg,32,76,5,2,12.5,24.99,0
2025-08-08,P001,Bio-Coffee Beans 1kg,33,43,5,1,12.5,24.99,0
2025-08-09,P001,Bio-Coffee Beans 1kg,43,375,5,0,12.5,24.99,1
2025-08-10,P001,Bio-Coffee Beans 1kg,22,353,5,0,12.5,24.99,0
2025-08-11,P001,Bio-Coffee Beans 1kg,19,334,5,0,12.5,24.99,0
2025-08-12,P001,Bio-Coffee Beans 1kg,24,310,5,0,12.5,24.99,0
2025-08-13,P001,Bio-Coffee Beans 1kg,12,298,5,0,12.5,24.99,0
2025-08-14,P001,Bio-Coffee Beans 1kg,30,268,5,0,12.5,24.99,0
2025-08-15,P001,Bio-Coffee Beans 1kg,25,243,5,0,12.5,24.99,0
2025-08-16,P001,Bio-Coffee Beans 1kg,35,208,5,0,12.5,24.99,0
2025-08-17,P001,Bio-Coffee Beans 1kg,18,190,5,0,12.5,24.99,0
2025-08-18,P001,Bio-Coffee Beans 1kg,21,169,5,0,12.5,24.99,0
2025-08-19,P001,Bio-Coffee Beans 1kg,24,145,5,0,12.5,24.99,0
2025-08-20,P001,Bio-Coffee Beans 1kg,15,130,5,0,12.5,24.99,0
2025-08-21,P001,Bio-Coffee Beans 1kg,20,110,5,5,12.5,24.99,0
2025-08-22,P001,Bio-Coffee Beans 1kg,36,74,5,4,12.5,24.99,0
2025-08-23,P001,Bio-Coffee Beans 1kg,33,41,5,3,12.5,24.99,0
2025-08-24,P001,Bio-Coffee Beans 1kg,25,16,5,2,12.5,24.99,0
2025-08-25,P001,Bio-Coffee Beans 1kg,16,0,5,1,12.5,24.99,1
2025-08-26,P001,Bio-Coffee Beans 1kg,0,375,5,0,12.5,24.99,1
2025-08-27,P001,Bio-Coffee Beans 1kg,20,355,5,0,12.5,24.99,0
2025-08-28,P001,Bio-Coffee Beans 1kg,19,336,5,0,12.5,24.99,0
2025-08-29,P001,Bio-Coffee Beans 1kg,38,298,5,0,12.5,24.99,0
2025-08-30,P001,Bio-Coffee Beans 1kg,33,265,5,0,12.5,24.99,0
2025-08-31,P001,Bio-Coffee Beans 1kg,30,235,5,0,12.5,24.99,0
2025-09-01,P001,Bio-Coffee Beans 1kg,20,215,5,0,12.5,24.99,0
